Jordyn Kramer,Northwestern
,
Bri Giordano,Northwestern
,
Hailey Louw,Northwestern
,
Vanessa Gomez,Northwestern
,
Amber Schubert,Northwestern
,
Jennifer Boeve,Northwestern
,
Courtney Lucas,Northwestern
,
Sydnee Isom,Northwestern
,
Koralee Heynen,Northwestern
,
Payton Hollis,Purdue
,
Sydney Windlan,Purdue
,
Brooke Imel,Purdue
,
Rachel Everson,Purdue
,
Ashley Haas,Purdue
,
Lauren Watson,Purdue
,
Lacey Wilzbacher,Purdue
,
Maria Palmegiani,Purdue
,
Lexi Smalarz,Purdue
,
Abby Baez,Purdue
,
Shaina Eyre,Purdue
,
Camryn Mosher,Purdue
,
Alise Hale,Purdue
,
Lauren McConnell,Purdue
,
Alyssa Malicki,Purdue
,
Morganne Denny,Purdue
,
Veronica Ruelius,Illinois
,
Danielle Brochu,Illinois
,
Alexis Carrillo,Illinois
,
Akilah Mouzon,Illinois
,
Kailee Powell,Illinois
,
Kiana Sherlund,Illinois
,
Rhein Trochim,Illinois
,
Emily Oestreich,Illinois
,
Zaria Dunlap,Illinois
,
Shelby Stauffenberg,Illinois
,
Serenity Stewart,Illinois
,
Taylor Edwards,Illinois
,
Bella Loya,Illinois
,
Danielle Dennis,Illinois
,
Danielle Davis,Illinois
,
Sydney Sickels,Illinois
,
Avrey Steiner,Illinois
,
Maddison Demers,Illinois
,
Carly Thomas,Illinois
,
Katie Wingerter,Illinois
,
Maddy Adams,Illinois
,
Hannah Sasaki,Illinois
,
Abby Sagert,Illinois
,
Stephanie Abello,Illinois
,
Annie Fleming,Illinois
,
Summer Constable,Ohio State
,
Spencer Sansom,Ohio State
,
Morgan Ray,Ohio State
,
Megan Choinacky,Ohio State
,
Niki Carver,Ohio State
,
Andi Farrah,Ohio State
,
Bri Betschel,Ohio State
,
Amy Balich,Ohio State
,
Katya Duvall,Ohio State
,
Emily Clark,Ohio State
,
Meg Otte,Ohio State
,
Lilli Piper,Ohio State
,
Carley Gaskill,Ohio State
,
Megan McMenemy,Ohio State
,
Skylar Hayward,Ohio State
,
Ashley Prange,Ohio State
,
Lauren Rice,Ohio State
,
Kalie Boren,Ohio State
,
Kaitlyn Coffman,Ohio State
,
Jessica Ross,Ohio State
,
Claire Nicholson,Ohio State
,
Cam Cecil,Iowa
,
Aralee Bogar,Iowa
,
Allison Doocy,Iowa
,
Erin Riding,Iowa
,
Lea Thompson,Iowa
